features,label
"sql_injection_pattern, unusual_db_query, db_error_in_response",SQL Injection
"sql_injection_pattern, union_based_payload, stacked_queries",SQL Injection
"reflected_payload, stored_xss_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"dns_enumeration, version_detection",Reconnaissance
"ransom_note_created, c2_communication, registry_modification, process_injection, bitcoin_address_in_note",Ransomware
"syn_flood, slow_loris_attack, ntp_amplification",Distributed Denial of Service (DDoS)
"reflected_payload, stored_xss_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"suspicious_email_link, domain_spoofing, urgency_in_email, whaling_attempt, vishing_indicators",Phishing
"certificate_anomaly, unusual_gateway_mac, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"stored_xss_payload, event_handler_injection, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"service_degradation, icmp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"port_scanning, whois_lookup, version_detection",Reconnaissance
"shadow_copy_deletion, registry_modification, lateral_movement",Ransomware
"db_error_in_response, time_delay_response, boolean_blind_sqli",SQL Injection
"multiple_failed_auth, password_spraying, dictionary_attack",Brute Force Attack
"arp_spoofing, ssl_stripping, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"union_based_payload, out_of_band_sqli, tautology_in_query, boolean_blind_sqli",SQL Injection
"high_traffic_volume, icmp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"amplification_traffic, slow_loris_attack, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"dictionary_attack, account_lockout_triggered, auth_log_flooding",Brute Force Attack
"tautology_in_query, boolean_blind_sqli",SQL Injection
"os_fingerprinting, traceroute_activity",Reconnaissance
"error_based_response, db_error_in_response, encoded_sql_payload, time_delay_response",SQL Injection
"udp_flood, http_flood, slow_loris_attack, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"email_header_anomaly, urgency_in_email, whaling_attempt",Phishing
"idle_scan, version_detection, tcp_connect_scan",Reconnaissance
"shadow_copy_deletion, lateral_movement",Ransomware
"dictionary_attack, failed_ssh_attempts",Brute Force Attack
"http_flood, icmp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"arp_spoofing, ssl_stripping, ip_spoofing",Man-in-the-Middle (MitM)
"password_spraying, dictionary_attack, rapid_auth_requests, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"banner_grabbing, ping_sweep",Reconnaissance
"http_flood, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"unusual_db_query, db_error_in_response",SQL Injection
"union_based_payload, tautology_in_query, encoded_sql_payload",SQL Injection
"mass_file_encryption, lateral_movement, bitcoin_address_in_note",Ransomware
"banner_grabbing, ping_sweep, tcp_connect_scan",Reconnaissance
"tautology_in_query, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"high_traffic_volume, service_degradation, bandwidth_saturation",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, c2_communication, data_exfiltration_before_encryption",Ransomware
"ssl_stripping, certificate_anomaly, evil_twin_ap",Man-in-the-Middle (MitM)
"service_enumeration, dns_enumeration, idle_scan, tcp_connect_scan",Reconnaissance
"credential_stuffing, dictionary_attack, auth_log_flooding",Brute Force Attack
"udp_flood, icmp_flood, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"xss_payload_detected, dom_manipulation, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"error_based_response, blind_sqli_timing, union_based_payload, out_of_band_sqli, time_delay_response",SQL Injection
"suspicious_email_link, urgency_in_email, whaling_attempt",Phishing
"port_scanning, os_fingerprinting, network_mapping, version_detection",Reconnaissance
"cookie_theft_attempt, event_handler_injection, javascript_uri_injection",Cross-Site Scripting (XSS)
"os_fingerprinting, ping_sweep, traceroute_activity",Reconnaissance
"ransom_note_created, shadow_copy_deletion, backup_deletion",Ransomware
"credential_harvesting, urgency_in_email, spear_phishing_indicators",Phishing
"service_degradation, icmp_flood",Distributed Denial of Service (DDoS)
"unusual_db_query, union_based_payload, encoded_sql_payload",SQL Injection
"stacked_queries, tautology_in_query, encoded_sql_payload",SQL Injection
"unusual_db_query, union_based_payload, stacked_queries, db_error_in_response, boolean_blind_sqli",SQL Injection
"email_header_anomaly, urgency_in_email, vishing_indicators",Phishing
"os_fingerprinting, dns_enumeration, tcp_connect_scan",Reconnaissance
"brute_force_login, credential_stuffing, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"multiple_failed_auth, password_spraying, account_lockout_triggered, rapid_auth_requests",Brute Force Attack
"error_based_response, stacked_queries, out_of_band_sqli, time_delay_response",SQL Injection
"suspicious_email_link, spear_phishing_indicators, vishing_indicators",Phishing
"domain_spoofing, fake_login_page, email_header_anomaly, vishing_indicators",Phishing
"service_enumeration, network_mapping, whois_lookup",Reconnaissance
"mass_file_encryption, ransom_note_created, backup_deletion, process_injection",Ransomware
"event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"unusual_file_extension, c2_communication, registry_modification",Ransomware
"high_traffic_volume, slow_loris_attack, bandwidth_saturation",Distributed Denial of Service (DDoS)
"service_enumeration, dns_enumeration",Reconnaissance
"ransom_note_created, c2_communication, lateral_movement, bitcoin_address_in_note",Ransomware
"file_rename_burst, registry_modification, data_exfiltration_before_encryption",Ransomware
"unusual_gateway_mac, packet_interception, evil_twin_ap",Man-in-the-Middle (MitM)
"suspicious_email_link, credential_harvesting, email_header_anomaly",Phishing
"error_based_response, blind_sqli_timing, db_error_in_response",SQL Injection
"mass_file_encryption, shadow_copy_deletion, data_exfiltration_before_encryption",Ransomware
"union_based_payload, stacked_queries, tautology_in_query",SQL Injection
"mass_file_encryption, unusual_file_extension, c2_communication",Ransomware
"xss_payload_detected, cookie_theft_attempt, event_handler_injection",Cross-Site Scripting (XSS)
"os_fingerprinting, service_enumeration, ping_sweep, whois_lookup, tcp_connect_scan",Reconnaissance
"brand_impersonation, spear_phishing_indicators, vishing_indicators",Phishing
"shadow_copy_deletion, unusual_file_extension, c2_communication, lateral_movement, bitcoin_address_in_note",Ransomware
"credential_harvesting, urgency_in_email, brand_impersonation",Phishing
"port_scanning, service_enumeration, network_mapping, idle_scan, tcp_connect_scan",Reconnaissance
"dns_spoofing, rogue_dhcp_server",Man-in-the-Middle (MitM)
"arp_spoofing, ssl_stripping, dns_spoofing, bgp_hijacking",Man-in-the-Middle (MitM)
"brand_impersonation, whaling_attempt, vishing_indicators",Phishing
"email_header_anomaly, spear_phishing_indicators",Phishing
"network_mapping, whois_lookup, version_detection",Reconnaissance
"rogue_dhcp_server, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"certificate_anomaly, evil_twin_ap",Man-in-the-Middle (MitM)
"union_based_payload, stacked_queries, out_of_band_sqli",SQL Injection
"event_handler_injection, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"suspicious_email_link, credential_harvesting, email_header_anomaly, lookalike_domain, spear_phishing_indicators",Phishing
"service_enumeration, traceroute_activity, idle_scan, tcp_connect_scan",Reconnaissance
"udp_flood, http_flood, amplification_traffic, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"mass_file_encryption, file_rename_burst, process_injection, lateral_movement",Ransomware
"packet_interception, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"http_flood, icmp_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"stacked_queries, tautology_in_query, boolean_blind_sqli",SQL Injection
"syn_flood, http_flood, amplification_traffic, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"account_lockout_triggered, failed_ssh_attempts, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"blind_sqli_timing, time_delay_response, boolean_blind_sqli",SQL Injection
"port_scanning, service_enumeration, network_mapping, idle_scan, version_detection",Reconnaissance
"credential_stuffing, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"error_based_response, union_based_payload, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"sql_injection_pattern, encoded_sql_payload, time_delay_response",SQL Injection
"db_error_in_response, tautology_in_query, encoded_sql_payload",SQL Injection
"credential_harvesting, email_header_anomaly, lookalike_domain, whaling_attempt",Phishing
"dns_spoofing, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"cookie_theft_attempt, reflected_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"fake_login_page, lookalike_domain, urgency_in_email, malicious_attachment, vishing_indicators",Phishing
"suspicious_email_link, spear_phishing_indicators, whaling_attempt, vishing_indicators",Phishing
"dns_spoofing, packet_interception, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"sql_injection_pattern, out_of_band_sqli, tautology_in_query",SQL Injection
"xss_payload_detected, script_tag_in_input, dom_manipulation, reflected_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"service_degradation, slow_loris_attack, bandwidth_saturation, ntp_amplification",Distributed Denial of Service (DDoS)
"sql_injection_pattern, unusual_db_query, tautology_in_query",SQL Injection
"cookie_theft_attempt, stored_xss_payload, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"udp_flood, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"packet_interception, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"file_rename_burst, registry_modification, lateral_movement",Ransomware
"sql_injection_pattern, union_based_payload, db_error_in_response, tautology_in_query, encoded_sql_payload",SQL Injection
"suspicious_email_link, email_header_anomaly, vishing_indicators",Phishing
"sql_injection_pattern, blind_sqli_timing, time_delay_response, boolean_blind_sqli",SQL Injection
"ssl_stripping, dns_spoofing, unusual_gateway_mac",Man-in-the-Middle (MitM)
"service_degradation, http_flood, bandwidth_saturation, ntp_amplification",Distributed Denial of Service (DDoS)
"certificate_anomaly, packet_interception",Man-in-the-Middle (MitM)
"credential_harvesting, malicious_attachment",Phishing
"urgency_in_email, malicious_attachment, vishing_indicators",Phishing
"domain_spoofing, urgency_in_email, malicious_attachment, whaling_attempt, vishing_indicators",Phishing
"os_fingerprinting, service_enumeration, traceroute_activity",Reconnaissance
"rogue_dhcp_server, session_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"lookalike_domain, spear_phishing_indicators",Phishing
"error_based_response, stacked_queries, out_of_band_sqli",SQL Injection
"email_header_anomaly, lookalike_domain, spear_phishing_indicators",Phishing
"amplification_traffic, icmp_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"sql_injection_pattern, stacked_queries, db_error_in_response, tautology_in_query",SQL Injection
"banner_grabbing, dns_enumeration, whois_lookup, traceroute_activity, idle_scan",Reconnaissance
"unusual_db_query, union_based_payload, db_error_in_response, boolean_blind_sqli",SQL Injection
"xss_payload_detected, event_handler_injection",Cross-Site Scripting (XSS)
"multiple_failed_auth, password_spraying, account_lockout_triggered, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"unusual_db_query, error_based_response, blind_sqli_timing",SQL Injection
"ssl_stripping, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"unusual_gateway_mac, rogue_dhcp_server, bgp_hijacking",Man-in-the-Middle (MitM)
"rogue_dhcp_server, packet_interception, bgp_hijacking",Man-in-the-Middle (MitM)
"db_error_in_response, tautology_in_query, boolean_blind_sqli",SQL Injection
"service_degradation, http_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"fake_login_page, email_header_anomaly, brand_impersonation, spear_phishing_indicators",Phishing
"unusual_gateway_mac, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"os_fingerprinting, network_mapping, whois_lookup",Reconnaissance
"banner_grabbing, dns_enumeration, idle_scan",Reconnaissance
"email_header_anomaly, malicious_attachment, brand_impersonation",Phishing
"port_scanning, os_fingerprinting, network_mapping, traceroute_activity, tcp_connect_scan",Reconnaissance
"backup_deletion, process_injection",Ransomware
"port_scanning, service_enumeration, ping_sweep, idle_scan",Reconnaissance
"dns_spoofing, unusual_gateway_mac, session_hijacking",Man-in-the-Middle (MitM)
"service_enumeration, network_mapping",Reconnaissance
"sql_injection_pattern, out_of_band_sqli",SQL Injection
"dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"dns_spoofing, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"unusual_db_query, time_delay_response, boolean_blind_sqli",SQL Injection
"dns_spoofing, rogue_dhcp_server, session_hijacking",Man-in-the-Middle (MitM)
"dns_spoofing, packet_interception, bgp_hijacking",Man-in-the-Middle (MitM)
"port_scanning, tcp_connect_scan",Reconnaissance
"credential_harvesting, malicious_attachment, spear_phishing_indicators",Phishing
"lookalike_domain, whaling_attempt",Phishing
"unusual_file_extension, file_rename_burst, registry_modification",Ransomware
"dns_spoofing, evil_twin_ap",Man-in-the-Middle (MitM)
"sql_injection_pattern, blind_sqli_timing, out_of_band_sqli",SQL Injection
"udp_flood, slow_loris_attack, ntp_amplification",Distributed Denial of Service (DDoS)
"ransom_note_created, backup_deletion, lateral_movement",Ransomware
"stacked_queries, encoded_sql_payload",SQL Injection
"brute_force_login, credential_stuffing, dictionary_attack, failed_rdp_attempts",Brute Force Attack
"port_scanning, network_mapping, dns_enumeration",Reconnaissance
"dns_spoofing, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"os_fingerprinting, service_enumeration, tcp_connect_scan",Reconnaissance
"xss_payload_detected, cookie_theft_attempt, reflected_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
